vqa, target num:0, total attack num:3,best loss: 0.0001442432403564453
vqa_specific, target num:0, total attack num:7,best loss: 0.0001442432403564453
cls, target num:0, total attack num:9,best loss: 0.0001442432403564453
cap, target num:0, total attack num:15,best loss: 0.0001442432403564453
vqa, target num:0, total attack num:4,best loss: 4.9591064453125e-05
vqa_specific, target num:0, total attack num:4,best loss: 4.9591064453125e-05
cls, target num:0, total attack num:10,best loss: 4.9591064453125e-05
cap, target num:0, total attack num:11,best loss: 4.9591064453125e-05
vqa, target num:0, total attack num:5,best loss: 0.0005230903625488281
vqa_specific, target num:0, total attack num:7,best loss: 0.0005230903625488281
cls, target num:0, total attack num:11,best loss: 0.0005230903625488281
cap, target num:0, total attack num:14,best loss: 0.0005230903625488281
vqa, target num:0, total attack num:7,best loss: 0.00397491455078125
vqa_specific, target num:0, total attack num:6,best loss: 0.00397491455078125
cls, target num:0, total attack num:16,best loss: 0.00397491455078125
cap, target num:0, total attack num:14,best loss: 0.00397491455078125
vqa, target num:0, total attack num:5,best loss: 0.00019598007202148438
vqa_specific, target num:0, total attack num:4,best loss: 0.00019598007202148438
cls, target num:0, total attack num:12,best loss: 0.00019598007202148438
cap, target num:0, total attack num:9,best loss: 0.00019598007202148438
vqa, target num:0, total attack num:1,best loss: 0.0002856254577636719
vqa_specific, target num:0, total attack num:5,best loss: 0.0002856254577636719
cls, target num:0, total attack num:13,best loss: 0.0002856254577636719
cap, target num:0, total attack num:9,best loss: 0.0002856254577636719
vqa, target num:0, total attack num:7,best loss: 6.99758529663086e-05
vqa_specific, target num:0, total attack num:5,best loss: 6.99758529663086e-05
cls, target num:0, total attack num:16,best loss: 6.99758529663086e-05
cap, target num:0, total attack num:14,best loss: 6.99758529663086e-05
vqa, target num:0, total attack num:5,best loss: 0.00010645389556884766
vqa_specific, target num:0, total attack num:7,best loss: 0.00010645389556884766
cls, target num:0, total attack num:9,best loss: 0.00010645389556884766
cap, target num:0, total attack num:12,best loss: 0.00010645389556884766
vqa, target num:0, total attack num:3,best loss: 0.00029349327087402344
vqa_specific, target num:0, total attack num:2,best loss: 0.00029349327087402344
cls, target num:0, total attack num:13,best loss: 0.00029349327087402344
cap, target num:0, total attack num:8,best loss: 0.00029349327087402344
vqa, target num:0, total attack num:3,best loss: 3.7670135498046875e-05
vqa_specific, target num:0, total attack num:5,best loss: 3.7670135498046875e-05
cls, target num:0, total attack num:13,best loss: 3.7670135498046875e-05
cap, target num:0, total attack num:13,best loss: 3.7670135498046875e-05
vqa, target num:0, total attack num:2,best loss: 4.9114227294921875e-05
