vqa, target num:0, total attack num:4,best loss: 2.6226043701171875e-05
vqa_specific, target num:0, total attack num:7,best loss: 2.6226043701171875e-05
cls, target num:0, total attack num:11,best loss: 2.6226043701171875e-05
cap, target num:0, total attack num:15,best loss: 2.6226043701171875e-05
vqa, target num:0, total attack num:3,best loss: 2.9802322387695312e-05
vqa_specific, target num:0, total attack num:4,best loss: 2.9802322387695312e-05
cls, target num:0, total attack num:10,best loss: 2.9802322387695312e-05
cap, target num:0, total attack num:15,best loss: 2.9802322387695312e-05
vqa, target num:0, total attack num:3,best loss: 2.753734588623047e-05
vqa_specific, target num:0, total attack num:8,best loss: 2.753734588623047e-05
cls, target num:0, total attack num:13,best loss: 2.753734588623047e-05
cap, target num:0, total attack num:15,best loss: 2.753734588623047e-05
vqa, target num:0, total attack num:4,best loss: 0.0009570121765136719
vqa_specific, target num:0, total attack num:5,best loss: 0.0009570121765136719
cls, target num:0, total attack num:15,best loss: 0.0009570121765136719
cap, target num:0, total attack num:13,best loss: 0.0009570121765136719
vqa, target num:0, total attack num:1,best loss: 2.3603439331054688e-05
vqa_specific, target num:0, total attack num:2,best loss: 2.3603439331054688e-05
cls, target num:0, total attack num:12,best loss: 2.3603439331054688e-05
cap, target num:0, total attack num:8,best loss: 2.3603439331054688e-05
vqa, target num:0, total attack num:1,best loss: 4.303455352783203e-05
vqa_specific, target num:0, total attack num:5,best loss: 4.303455352783203e-05
cls, target num:0, total attack num:13,best loss: 4.303455352783203e-05
cap, target num:0, total attack num:9,best loss: 4.303455352783203e-05
vqa, target num:0, total attack num:2,best loss: 1.3709068298339844e-05
vqa_specific, target num:0, total attack num:4,best loss: 1.3709068298339844e-05
cls, target num:0, total attack num:16,best loss: 1.3709068298339844e-05
cap, target num:0, total attack num:15,best loss: 1.3709068298339844e-05
vqa, target num:0, total attack num:7,best loss: 3.910064697265625e-05
vqa_specific, target num:0, total attack num:7,best loss: 3.910064697265625e-05
cls, target num:0, total attack num:11,best loss: 3.910064697265625e-05
cap, target num:0, total attack num:11,best loss: 3.910064697265625e-05
vqa, target num:0, total attack num:2,best loss: 3.5762786865234375e-05
vqa_specific, target num:0, total attack num:2,best loss: 3.5762786865234375e-05
cls, target num:0, total attack num:12,best loss: 3.5762786865234375e-05
cap, target num:0, total attack num:9,best loss: 3.5762786865234375e-05
vqa, target num:0, total attack num:3,best loss: 1.895427703857422e-05
vqa_specific, target num:0, total attack num:5,best loss: 1.895427703857422e-05
cls, target num:0, total attack num:11,best loss: 1.895427703857422e-05
cap, target num:0, total attack num:11,best loss: 1.895427703857422e-05
vqa, target num:0, total attack num:3,best loss: 2.288818359375e-05
vqa_specific, target num:0, total attack num:7,best loss: 2.288818359375e-05
cls, target num:0, total attack num:13,best loss: 2.288818359375e-05
cap, target num:0, total attack num:14,best loss: 2.288818359375e-05
vqa, target num:0, total attack num:5,best loss: 9.179115295410156e-06
vqa_specific, target num:0, total attack num:7,best loss: 9.179115295410156e-06
cls, target num:0, total attack num:11,best loss: 9.179115295410156e-06
