vqa, target num:0, total attack num:4,best loss: 7.724761962890625e-05
vqa_specific, target num:0, total attack num:7,best loss: 7.724761962890625e-05
cls, target num:0, total attack num:10,best loss: 7.724761962890625e-05
cap, target num:0, total attack num:15,best loss: 7.724761962890625e-05
vqa, target num:0, total attack num:2,best loss: 3.337860107421875e-05
vqa_specific, target num:0, total attack num:3,best loss: 3.337860107421875e-05
cls, target num:0, total attack num:9,best loss: 3.337860107421875e-05
cap, target num:0, total attack num:11,best loss: 3.337860107421875e-05
vqa, target num:0, total attack num:6,best loss: 8.14199447631836e-05
vqa_specific, target num:0, total attack num:8,best loss: 8.14199447631836e-05
cls, target num:0, total attack num:13,best loss: 8.14199447631836e-05
cap, target num:0, total attack num:14,best loss: 8.14199447631836e-05
vqa, target num:0, total attack num:4,best loss: 0.00263214111328125
vqa_specific, target num:0, total attack num:6,best loss: 0.00263214111328125
cls, target num:0, total attack num:15,best loss: 0.00263214111328125
cap, target num:0, total attack num:14,best loss: 0.00263214111328125
vqa, target num:0, total attack num:4,best loss: 0.00011026859283447266
vqa_specific, target num:0, total attack num:2,best loss: 0.00011026859283447266
cls, target num:0, total attack num:12,best loss: 0.00011026859283447266
cap, target num:0, total attack num:9,best loss: 0.00011026859283447266
vqa, target num:0, total attack num:4,best loss: 0.0001157522201538086
vqa_specific, target num:0, total attack num:5,best loss: 0.0001157522201538086
cls, target num:0, total attack num:13,best loss: 0.0001157522201538086
cap, target num:0, total attack num:9,best loss: 0.0001157522201538086
vqa, target num:0, total attack num:5,best loss: 1.9073486328125e-05
vqa_specific, target num:0, total attack num:4,best loss: 1.9073486328125e-05
cls, target num:0, total attack num:16,best loss: 1.9073486328125e-05
cap, target num:0, total attack num:14,best loss: 1.9073486328125e-05
vqa, target num:0, total attack num:3,best loss: 5.340576171875e-05
vqa_specific, target num:0, total attack num:7,best loss: 5.340576171875e-05
cls, target num:0, total attack num:9,best loss: 5.340576171875e-05
cap, target num:0, total attack num:11,best loss: 5.340576171875e-05
vqa, target num:0, total attack num:2,best loss: 0.00010645389556884766
vqa_specific, target num:0, total attack num:2,best loss: 0.00010645389556884766
cls, target num:0, total attack num:13,best loss: 0.00010645389556884766
cap, target num:0, total attack num:9,best loss: 0.00010645389556884766
vqa, target num:0, total attack num:3,best loss: 2.6702880859375e-05
vqa_specific, target num:0, total attack num:5,best loss: 2.6702880859375e-05
cls, target num:0, total attack num:12,best loss: 2.6702880859375e-05
cap, target num:0, total attack num:10,best loss: 2.6702880859375e-05
vqa, target num:0, total attack num:3,best loss: 3.635883331298828e-05
vqa_specific, target num:0, total attack num:7,best loss: 3.635883331298828e-05
cls, target num:0, total attack num:13,best loss: 3.635883331298828e-05
cap, target num:0, total attack num:13,best loss: 3.635883331298828e-05
